monarch;birth_year;death_year;start_reign1;end_reign1;start_reign2;end_reign2;reign_years_total
Gorm den Gamle;NA;958;NA;958;NA;NA;NA
Harald 1. Blåtand;NA;987;958;987;NA;NA;29
Svend 1. Tveskæg;NA;1014;987;1014;NA;NA;27
Harald 2.;NA;1018;1014;1018;NA;NA;4
Knud 1. den Store;995;1035;1018;1035;NA;NA;17
Hardeknud;1020;1042;1035;1042;NA;NA;7
Magnus den Store;1024;1047;1042;1047;NA;NA;5
Svend 2. Estridsen ;NA;1074;1947;1974;NA;NA;27
Harald 3. Hen;NA;1080;1074;1080;NA;NA;6
Knud 2. den Hellige;NA;1086;1080;1086;NA;NA;6
Oluf 1. Hunger;NA;1095;1086;1095;NA;NA;9
Erik 1. Ejegod;1056;1103;1095;1103;NA;NA;8
Niels;NA;1134;1104;1134;NA;NA;30
Erik 2. Emune;NA;1137;1134;1137;NA;NA;3
Erik 3. Lam;NA;1146;1137;1146;NA;NA;9
Svend 3.;NA;1157;1146;1157;NA;NA;11
Knud 3. ;NA;1157;1146;1157;NA;NA;11
Valdemar 1. den Store;1131;1157;1146;1157;1157;1182;36
Knud 4. ;1163;1202;1182;1202;NA;NA;20
Valdemar 2. Sejr;1170;1241;1202;1241;NA;NA;39
Erik 4. Plovpenning;1216;1250;1241;1250;NA;NA;9
Abel;1218;1252;1250;1252;NA;NA;2
Christoffer 1.;1219;1259;1252;1259;NA;NA;7
Erik 5. Klipping;1249;1286;1259;1286;NA;NA;27
Erik 6. Menved;1274;1319;1286;1319;NA;NA;33
Christoffer 2.;1276;1332;1319;1326;1329;1332;10
Valdemar 3.;1315;1364;1326;1329;NA;NA;3
Valdemar 4. Atterdag;1320;1375;1340;1375;NA;NA;35
Oluf 2.;1370;1387;1375;1387;NA;NA;12
Margrete 1.;1353;1412;1387;1396;NA;NA;9
Erik 7. af Pommern;1382;1459;1396;1439;NA;NA;43
Christoffer 3. af Bayern;1416;1448;1440;1448;NA;NA;8
Christian 1.;1426;1481;1448;1481;NA;NA;33
Hans;1455;1513;1482;1513;NA;NA;31
Christian 2.;1481;1559;1513;1523;NA;NA;10
Frederik 1.;1471;1533;1523;1533;NA;NA;10
Christian 3.;1503;1559;1536;1559;NA;NA;23
Frederik 2.;1534;1588;1559;1588;NA;NA;29
Christian 4.;1577;1648;1588;1648;NA;NA;60
Frederik 3.;1609;1670;1648;1670;NA;NA;22
Christian 5.;1646;1699;1670;1699;NA;NA;29
Frederik 4.;1671;1730;1699;1730;NA;NA;31
Christian 6.;1699;1746;1730;1746;NA;NA;16
Frederik 5.;1723;1766;1746;1766;NA;NA;20
Christian 7.;1749;1808;1766;1808;NA;NA;42
Frederik 6.;1768;1839;1808;1839;NA;NA;31
Christian 8.;1786;1848;1839;1848;NA;NA;9
Frederik 7.;1808;1863;1848;1863;NA;NA;15
Christian 9.;1818;1906;1863;1906;NA;NA;43
Frederik 8.;1843;1912;1906;1912;NA;NA;6
Christian 10.;1870;1947;1912;1947;NA;NA;35
Frederik 9.;1899;1972;1947;1972;NA;NA;25
Margrethe 2.;1940;NA;1972;NA;NA;NA;NA
